stimnum,stim,stimtype,stimtc,stimrf,freq
1,scrutinize,prevtruth,truth,prev,870
2,review,prevtruth,truth,prev,51511
3,judge,prevtruth,truth,prev,59956
4,assess,prevtruth,truth,prev,14514
5,examine,prevtruth,truth,prev,19024
6,verify,prevtruth,truth,prev,3396
7,explore,promtruth,truth,prom,18044
8,invent,promtruth,truth,prom,2482
9,seek,promtruth,truth,prom,26157
10,discover,promtruth,truth,prom,14202
11,imagine,promtruth,truth,prom,44255
12,wonder,promtruth,truth,prom,40220
13,guard,prevcontrol,control,prev,36702
14,resist,prevcontrol,control,prev,10122
15,defend,prevcontrol,control,prev,15370
16,protect,prevcontrol,control,prev,45116
17,preserve,prevcontrol,control,prev,12644
18,maintain,prevcontrol,control,prev,28646
19,propel,promcontrol,control,prom,1388
20,accelerate,promcontrol,control,prom,2949
21,progress,promcontrol,control,prom,38126
22,elevate,promcontrol,control,prom,1598
23,lead,promcontrol,control,prom,83252
24,launch,promcontrol,control,prom,16515
25,control,cgen,control,gen,145154
26,manage,cgen,control,gen,18616
27,operate,cgen,control,gen,14749
28,inquire,tgen,truth,gen,1533
29,investigate,tgen,truth,gen,12174
30,consider,tgen,truth,gen,59785
31,exercise,gen,gen,gen,37728
32,communicate,gen,gen,gen,11536
33,sleep,gen,gen,gen,49735
34,read,gen,gen,gen,119728
35,shower,gen,gen,gen,11914
36,pray,gen,gen,gen,9952
